epoch,train_loss,train_acc,test_loss,test_acc
1,0.0716,0.9028,0.3715,0.7698
2,0.0940,0.9025,0.4280,0.7863
3,0.0948,0.9141,0.4788,0.7896
4,0.0967,0.9161,0.4993,0.8029
5,0.0891,0.9181,0.5828,0.7830
6,0.0866,0.9246,0.4345,0.8117
7,0.0746,0.9396,0.5290,0.7819
8,0.1250,0.9060,0.4839,0.7797
9,0.0947,0.9271,0.5935,0.7731
10,0.1179,0.9171,0.5005,0.7896
