epoch,train_loss,train_acc,test_loss,test_acc
1,0.0135,0.9774,0.2483,0.8315
2,0.0104,0.9825,0.2454,0.8348
3,0.0094,0.9842,0.2588,0.8425
4,0.0084,0.9852,0.2573,0.8315
5,0.0078,0.9842,0.2716,0.8348
6,0.0075,0.9865,0.2733,0.8337
7,0.0072,0.9855,0.2666,0.8403
8,0.0067,0.9880,0.2765,0.8425
9,0.0065,0.9852,0.2765,0.8425
10,0.0063,0.9897,0.2919,0.8326
