epoch,train_loss,train_acc,test_loss,test_acc
1,1.5921,0.2263,1.7034,0.2137
2,1.2124,0.3608,1.3968,0.2819
3,0.9490,0.4833,1.0508,0.4449
4,0.7963,0.5841,0.9265,0.5165
5,0.7214,0.6134,0.8129,0.5705
6,0.6376,0.6582,0.8568,0.5683
7,0.6185,0.6698,0.7291,0.6057
8,0.5636,0.7026,0.7284,0.5980
9,0.5475,0.7159,0.7604,0.5859
10,0.5494,0.7191,0.7649,0.6189
11,0.5059,0.7487,0.7021,0.6222
12,0.5059,0.7534,0.8014,0.6035
